sal_code_2021,sal_name_2021
SAL10726,Byadbo Wilderness
SAL10727,Byangum
SAL10728,Bylong
SAL10729,Byng
SAL10730,Byrock
SAL10731,Byron Bay
SAL10732,Byrrill Creek
SAL10733,Bywong
SAL10734,Cabarita (NSW)
SAL10735,Cabarita Beach
SAL10736,Cabbage Tree Island (Ballina - NSW)
SAL10737,Cabbage Tree Island (Mid-Coast - NSW)
SAL10738,Cabramatta
SAL10739,Cabramatta West
SAL10740,Cabramurra
SAL10741,Caddens
SAL10742,Cadgee (NSW)
SAL10743,Cadia
SAL10744,Caerleon
SAL10745,Caffreys Flat
SAL10746,Cairncross
SAL10747,Calala
SAL10748,Calamia
SAL10749,Calderwood
SAL10750,Caldwell
SAL10751,Calga
SAL10752,Califat
SAL10753,Calimo
SAL10754,Callaghan
SAL10755,Callaghans Creek
SAL10756,Callala Bay
SAL10757,Callala Beach
SAL10758,Calliope (NSW)
SAL10759,Caloola
SAL10760,Cambalong
SAL10761,Camberwell (NSW)
SAL10762,Cambewarra
SAL10763,Cambewarra Village
SAL10764,Camboon (NSW)
SAL10765,Cambra
SAL10766,Cambridge Gardens
SAL10767,Cambridge Park
SAL10768,Cambridge Plateau
SAL10769,Camden
SAL10770,Camden Head
SAL10771,Camden Park (NSW)
SAL10772,Camden South
SAL10773,Camellia
SAL10774,Cameron Park
SAL10775,Camerons Creek
SAL10776,Camira (NSW)
SAL10777,Cammeray
SAL10778,Camp Creek (NSW)
SAL10779,Campbelltown (NSW)
SAL10780,Camperdown (NSW)
SAL10781,Campsie
SAL10782,Campvale
SAL10783,Cams Wharf
SAL10784,Canada Bay
SAL10785,Canadian Lead
SAL10786,Canbelego
SAL10787,Candelo
SAL10788,Cangai
SAL10789,Caniaba
SAL10790,Canley Heights
SAL10791,Canley Vale
SAL10792,Canobolas
SAL10793,Canoelands
SAL10794,Canonba
SAL10795,Canowindra
SAL10796,Canterbury (NSW)
SAL10797,Canton Beach
SAL10798,Canyonleigh
SAL10799,Caparra
SAL10800,Capeen Creek
SAL10801,Capertee
SAL10802,Capoompeta
SAL10803,Captains Flat
SAL10804,Carabost
SAL10805,Caragabal
SAL10806,Carcalgong
SAL10807,Carcoar
SAL10808,Cardiff (NSW)
SAL10809,Cardiff Heights
SAL10810,Cardiff South
SAL10811,Carey Bay
SAL10812,Cargo
SAL10813,Carinda
SAL10814,Caringbah
SAL10815,Caringbah South
SAL10816,Carlaminda
SAL10817,Carlingford
SAL10818,Carlton (NSW)
SAL10819,Carnes Hill
SAL10820,Carnham
SAL10821,Carool
SAL10822,Caroona
SAL10823,Carrabolla
SAL10824,Carrai
SAL10825,Carramar (NSW)
SAL10826,Carrathool
SAL10827,Carrick (NSW)
SAL10828,Carrington (Mid-Coast - NSW)
SAL10829,Carrington (Newcastle - NSW)
SAL10830,Carrington Falls
SAL10831,Carroll
SAL10832,Carrowbrook
SAL10833,Carrs Creek
SAL10834,Carrs Island
SAL10835,Carrs Peninsula
SAL10836,Carss Park
SAL10837,Cartwright
SAL10838,Cartwrights Hill
SAL10839,Carwell
SAL10840,Carwoola
SAL10841,Cascade (NSW)
SAL10842,Casino
SAL10843,Cassilis (NSW)
SAL10844,Castle Cove
SAL10845,Castle Doyle
SAL10846,Castle Hill (NSW)
SAL10847,Castle Rock
SAL10848,Castlecrag
SAL10849,Castlereagh
SAL10850,Casuarina (NSW)
SAL10851,Casula
SAL10852,Catalina
SAL10853,Cataract
SAL10854,Cathcart (NSW)
SAL10855,Catherine Field
SAL10856,Catherine Hill Bay
SAL10857,Cathundral
SAL10858,Cattai
SAL10859,Cattle Creek (NSW)
SAL10860,Cavan (NSW)
SAL10861,Caves Beach
SAL10862,Cawdor (NSW)
SAL10863,Cawongla
SAL10864,Cecil Hills
SAL10865,Cecil Park
SAL10866,Cedar Brush Creek
SAL10867,Cedar Creek (Cessnock - NSW)
SAL10868,Cedar Creek (Tweed - NSW)
SAL10869,Cedar Party
SAL10870,Cedar Point
SAL10871,Cells River
SAL10872,Centennial Park (NSW)
SAL10873,Central Colo
SAL10874,Central Macdonald
SAL10875,Central Mangrove
SAL10876,Central Tilba
SAL10877,Cessnock
SAL10878,Chaelundi
SAL10879,Chain Valley Bay
SAL10880,Chakola
SAL10881,Chambigne
SAL10882,Charbon
SAL10883,Charles Sturt University
SAL10884,Charlestown (NSW)
SAL10885,Charleys Forest
SAL10886,Charlotte Bay
SAL10887,Charlton (NSW)
SAL10888,Charmhaven
SAL10889,Chatham Valley
SAL10890,Chatsbury
SAL10891,Chatswood
SAL10892,Chatswood West
SAL10893,Chatsworth (NSW)
SAL10894,Cheero Point
SAL10895,Cheltenham (NSW)
SAL10896,Cherry Tree Hill
SAL10897,Cherrybrook
SAL10898,Chester Hill
SAL10899,Chichester (NSW)
SAL10900,Chifley (NSW)
SAL10901,Chilcotts Creek
SAL10902,Chilcotts Grass
SAL10903,Chillingham
SAL10904,Chinderah
SAL10905,Chinnock
SAL10906,Chippendale
SAL10907,Chipping Norton
SAL10908,Chisholm (NSW)
SAL10909,Chiswick
SAL10910,Chittaway Bay
SAL10911,Chittaway Point
SAL10912,Chowan Creek
SAL10913,Chullora
SAL10914,Church Point
SAL10915,Clandulla
SAL10916,Clare (NSW)
SAL10917,Claremont Meadows
SAL10918,Clarence
SAL10919,Clarence Town
SAL10920,Clarendon (NSW)
SAL10921,Clarenza
SAL10922,Clareville
SAL10923,Claymore
SAL10924,Clear Creek
SAL10925,Clear Range
SAL10926,Clearfield
SAL10927,Clemton Park
SAL10928,Clergate
SAL10929,Cleveland (NSW)
SAL10930,Clifden
SAL10931,Cliftleigh
SAL10932,Clifton (NSW)
SAL10933,Clifton Grove
SAL10934,Clontarf (NSW)
SAL10935,Clothiers Creek
SAL10936,Clouds Creek
SAL10937,Clovelly
SAL10938,Clunes (NSW)
SAL10939,Clybucca
SAL10940,Clyde (NSW)
SAL10941,Clydesdale (NSW)
SAL10942,Coal Point
SAL10943,Coalcliff
SAL10944,Coaldale
SAL10945,Coasters Retreat
SAL10946,Cobaki
SAL10947,Cobaki Lakes
SAL10948,Cobar
SAL10949,Cobar Park
SAL10950,Cobargo
SAL10951,Cobark
SAL10952,Cobbadah
SAL10953,Cobbitty
SAL10954,Cobbora
SAL10955,Cobramunga
SAL10956,Cockwhy
SAL10957,Codrington (NSW)
SAL10958,Coffee Camp
SAL10959,Coffs Harbour
SAL10960,Coggan
SAL10961,Cogra Bay
SAL10962,Coila
SAL10963,Coldstream (NSW)
SAL10964,Coleambally
SAL10965,Colebee
SAL10966,Coledale
SAL10967,Colinroobie
SAL10968,Colinton (NSW)
SAL10969,Collarenebri
SAL10970,Collaroy (NSW)
SAL10971,Collaroy Plateau
SAL10972,Collector
SAL10973,Collendina
SAL10974,Collerina
SAL10975,Collie (NSW)
SAL10976,Collingullie
SAL10977,Collingwood (NSW)
SAL10978,Collins Creek
SAL10979,Collombatti
SAL10980,Collum Collum
SAL10981,Colly Blue
SAL10982,Colo (Bathurst Regional - NSW)
SAL10983,Colo (Hawkesbury - NSW)
SAL10984,Colo Heights
SAL10985,Colo Vale
SAL10986,Colongra
SAL10987,Colyton
SAL10988,Comara
SAL10989,Combaning
SAL10990,Combara
SAL10991,Comberton
SAL10992,Comboyne
SAL10993,Come By Chance
SAL10994,Comerong Island
SAL10995,Commissioners Creek
SAL10996,Como (NSW)
SAL10997,Comobella
SAL10998,Conargo
SAL10999,Concord
SAL11000,Concord West
SAL11001,Condell Park
SAL11002,Condobolin
SAL11003,Condong
SAL11004,Coneac
SAL11005,Congarinni
SAL11006,Congarinni North
SAL11007,Congewai
SAL11008,Congo
SAL11009,Conimbia
SAL11010,Coniston
SAL11011,Conjola
SAL11012,Conjola Park
SAL11013,Connells Point
SAL11014,Constitution Hill
SAL11015,Coogee (NSW)
SAL11016,Cookamidgera
SAL11017,Cookardinia
SAL11018,Cooks Gap
SAL11019,Cooks Hill
SAL11020,Cooks Myalls
SAL11021,Coolabah
SAL11022,Coolac
SAL11023,Coolagolite
SAL11024,Coolah
SAL11025,Coolamon
SAL11026,Coolangatta (NSW)
SAL11027,Coolangubra
SAL11028,Coolatai
SAL11029,Cooleman
SAL11030,Cooleys Creek
SAL11031,Coolgardie (NSW)
SAL11032,Coolongolook
SAL11033,Coolringdon
SAL11034,Coolumbooka
SAL11035,Coolumburra
SAL11036,Cooma (NSW)
SAL11037,Coomba Bay
SAL11038,Coomba Park
SAL11039,Coombadjha
