poa_code_2021,postcode,sa2_code_2021,sa2_name_2021,overlap_area_pct,confidence
POA3185,3185,206051134,St Kilda East,11.52,low
POA3186,3186,208011169,Brighton (Vic.),97.88,high
POA3186,3186,208011170,Brighton East,1.82,low
POA3186,3186,208011172,Hampton,0.3,low
POA3187,3187,208011170,Brighton East,96.15,high
POA3187,3187,208021174,Bentleigh - McKinnon,2.82,low
POA3187,3187,208011172,Hampton,1.03,low
POA3188,3188,208011172,Hampton,96.6,high
POA3188,3188,208011171,Highett (West) - Cheltenham,2.05,low
POA3188,3188,208011173,Sandringham - Black Rock,1.35,low
POA3189,3189,208031191,Moorabbin - Heatherton,100.0,high
POA3190,3190,208011171,Highett (West) - Cheltenham,66.21,medium
POA3190,3190,208031188,Highett (East) - Cheltenham,33.79,low
POA3191,3191,208011173,Sandringham - Black Rock,98.22,high
POA3191,3191,208011171,Highett (West) - Cheltenham,1.78,low
POA3192,3192,208031188,Highett (East) - Cheltenham,82.88,medium
POA3192,3192,208011171,Highett (West) - Cheltenham,16.27,low
POA3192,3192,208011168,Beaumaris,0.84,low
POA3192,3192,208011173,Sandringham - Black Rock,0.0,low
POA3193,3193,208011168,Beaumaris,68.38,medium
POA3193,3193,208011173,Sandringham - Black Rock,31.62,low
POA3194,3194,208031190,Mentone,99.8,high
POA3194,3194,208031192,Moorabbin Airport,0.2,low
POA3195,3195,208031193,Mordialloc - Parkdale,56.81,low
POA3195,3195,208031183,Aspendale Gardens - Waterways,23.72,low
POA3195,3195,208031189,Edithvale - Aspendale,19.43,low
POA3195,3195,208031184,Braeside,0.05,low
POA3196,3196,208031186,Chelsea - Bonbeach,56.67,low
POA3196,3196,208031189,Edithvale - Aspendale,23.3,low
POA3196,3196,208031187,Chelsea Heights,20.03,low
POA3197,3197,208031185,Carrum - Patterson Lakes,100.0,high
POA3198,3198,214011375,Seaford (Vic.),100.0,high
POA3199,3199,214011371,Frankston,42.01,low
POA3199,3199,214011373,Frankston South,33.52,low
POA3199,3199,214011372,Frankston North,24.47,low
POA3199,3199,214011375,Seaford (Vic.),0.0,low
POA3200,3200,214011372,Frankston North,100.0,high
POA3201,3201,214011370,Carrum Downs,100.0,high
POA3202,3202,208031191,Moorabbin - Heatherton,100.0,high
POA3204,3204,208021174,Bentleigh - McKinnon,73.7,medium
POA3204,3204,208021182,Ormond - Glen Huntly,24.82,low
POA3204,3204,208021426,Bentleigh East - North,0.82,low
POA3204,3204,208021427,Bentleigh East - South,0.65,low
POA3205,3205,206051512,South Melbourne,96.22,high
POA3205,3205,206051511,Port Melbourne Industrial,3.78,low
POA3206,3206,206051128,Albert Park,100.0,high
POA3207,3207,206051130,Port Melbourne,91.84,high
POA3207,3207,206051511,Port Melbourne Industrial,8.16,low
POA3211,3211,213051468,Werribee - West,54.49,low
POA3211,3211,203021043,Lara,45.51,low
POA3212,3212,203021043,Lara,100.0,high
POA3213,3213,203021486,Corio - Lovely Banks,60.41,medium
POA3213,3213,203011034,Bannockburn,18.37,low
POA3213,3213,203021043,Lara,14.16,low
POA3213,3213,203021047,North Geelong - Bell Park,5.63,low
POA3213,3213,203011035,Golden Plains - South,1.44,low
POA3214,3214,203021486,Corio - Lovely Banks,63.14,medium
POA3214,3214,203021488,Norlane,36.86,low
POA3214,3214,203021043,Lara,0.0,low
POA3214,3214,203021047,North Geelong - Bell Park,0.0,low
POA3215,3215,203021047,North Geelong - Bell Park,70.35,medium
POA3215,3215,203021040,Geelong West - Hamlyn Heights,29.65,low
POA3215,3215,203021486,Corio - Lovely Banks,0.0,low
POA3216,3216,203021042,Highton,39.51,low
POA3216,3216,203021487,Grovedale - Mount Duneed,31.73,low
POA3216,3216,203021037,Belmont,24.95,low
POA3216,3216,203021485,Charlemont,3.81,low
POA3217,3217,203021485,Charlemont,39.11,low
POA3217,3217,203031489,Barwon Heads - Armstrong Creek,28.68,low
POA3217,3217,203021487,Grovedale - Mount Duneed,27.92,low
POA3217,3217,203011036,Winchelsea,2.23,low
POA3217,3217,203031053,Torquay,2.06,low
POA3218,3218,203021040,Geelong West - Hamlyn Heights,98.18,high
POA3218,3218,203011034,Bannockburn,1.41,low
POA3218,3218,203021047,North Geelong - Bell Park,0.41,low
POA3219,3219,203021045,Newcomb - Moolap,67.07,medium
