postcode,locality,state,type,status,lat,lng,sa1_code_2021,sa1_name_2021,sa2_code_2021,sa2_name_2021,lga_name,lga_code
3085,MACLEOD,VIC,Delivery Area,Updated 6-Feb-2020,-37.714,145.066,20902120527,Macleod (Vic.),209021205,Kingsbury,Darebin,21890
3085,MACLEOD WEST,VIC,Delivery Area,Updated 6-Feb-2020,-37.7258716,145.0709158,20902120527,Macleod (Vic.),209021205,Kingsbury,Darebin,21890
3085,YALLAMBIE,VIC,Delivery Area,Updated 6-Feb-2020,-37.726,145.104,20902120527,Macleod (Vic.),209021205,Kingsbury,Darebin,21890
3086,LA TROBE UNIVERSITY,VIC,Delivery Area,Updated 6-Feb-2020,-37.7229498,145.0503127,,,,,Darebin,21890
3087,WATSONIA,VIC,Delivery Area,Updated 6-Feb-2020,-37.708,145.083,20901120422,Watsonia North,209011204,Watsonia,Banyule,20660
3087,WATSONIA NORTH,VIC,Delivery Area,Updated 6-Feb-2020,-37.7,145.081,20901120422,Watsonia North,209011204,Watsonia,Banyule,20660
3088,BRIAR HILL,VIC,Delivery Area,Updated 6-Feb-2020,-37.708,145.115,20903121317,Greensborough,209031213,Plenty - Yarrambat,Nillumbik,25710
3088,GREENSBOROUGH,VIC,Delivery Area,Updated 6-Feb-2020,-37.7043698,145.1006438,20903121317,Greensborough,209031213,Plenty - Yarrambat,Nillumbik,25710
3088,SAINT HELENA,VIC,Delivery Area,Updated 6-Feb-2020,-37.686,145.137,20903121317,Greensborough,209031213,Plenty - Yarrambat,Nillumbik,25710
3088,ST HELENA,VIC,Delivery Area,Updated 6-Feb-2020,-37.686,145.137,20903121317,Greensborough,209031213,Plenty - Yarrambat,Nillumbik,25710
3089,DIAMOND CREEK,VIC,Delivery Area,Updated 6-Feb-2020,-37.6666174,145.1541397,20903121534,Diamond Creek,209031215,Wattle Glen - Diamond Creek,Nillumbik,25710
3090,PLENTY,VIC,Delivery Area,Updated 6-Feb-2020,-37.670486,145.1099967,20903121319,Plenty (Vic.),209031213,Plenty - Yarrambat,Nillumbik,25710
3091,YARRAMBAT,VIC,Delivery Area,Updated 6-Feb-2020,-37.6404295,145.1320653,20903121325,Yarrambat,209031213,Plenty - Yarrambat,Nillumbik,25710
3093,LOWER PLENTY,VIC,Delivery Area,Updated 6-Feb-2020,-37.7393287,145.112755,20901120240,Lower Plenty,209011202,Montmorency - Briar Hill,Banyule,20660
3094,MONTMORENCY,VIC,Delivery Area,Updated 6-Feb-2020,-37.7196403,145.1237889,20901120239,Montmorency,209011202,Montmorency - Briar Hill,Banyule,20660
3095,ELTHAM,VIC,Delivery Area,Updated 6-Feb-2020,-37.715,145.158,20903121415,Research,209031214,Research - North Warrandyte,Banyule,20660
3095,ELTHAM NORTH,VIC,Delivery Area,Updated 6-Feb-2020,-37.698,145.144,20903121415,Research,209031214,Research - North Warrandyte,Banyule,20660
3095,RESEARCH,VIC,Delivery Area,Updated 6-Feb-2020,-37.707,145.18,20903121415,Research,209031214,Research - North Warrandyte,Banyule,20660
3096,WATTLE GLEN,VIC,Delivery Area,Updated 6-Feb-2020,-37.6683887,145.1872619,20903121536,Wattle Glen,209031215,Wattle Glen - Diamond Creek,Nillumbik,25710
3097,BEND OF ISLANDS,VIC,Delivery Area,Updated 6-Feb-2020,-37.6980733,145.2756505,20903121417,Kangaroo Ground,209031214,Research - North Warrandyte,Nillumbik,25710
3097,KANGAROO GROUND,VIC,Delivery Area,Updated 6-Feb-2020,-37.686,145.216,20903121417,Kangaroo Ground,209031214,Research - North Warrandyte,Nillumbik,25710
3097,WATSONS CREEK,VIC,Delivery Area,Updated 6-Feb-2020,-37.67,145.258,20903121417,Kangaroo Ground,209031214,Research - North Warrandyte,Nillumbik,25710
3099,ARTHURS CREEK,VIC,Delivery Area,Updated 6-Feb-2020,-37.583333,145.2,20903121219,Nutfield,209031212,Panton Hill - St Andrews,Nillumbik,25710
3099,COTTLES BRIDGE,VIC,Delivery Area,Updated 6-Feb-2020,-37.622,145.219,20903121219,Nutfield,209031212,Panton Hill - St Andrews,Nillumbik,25710
3099,HURSTBRIDGE,VIC,Delivery Area,Updated 6-Feb-2020,-37.638889,145.195,20903121219,Nutfield,209031212,Panton Hill - St Andrews,Nillumbik,25710
3099,NUTFIELD,VIC,Delivery Area,Updated 6-Feb-2020,-37.603,145.181,20903121219,Nutfield,209031212,Panton Hill - St Andrews,Nillumbik,25710
3099,STRATHEWEN,VIC,Delivery Area,Updated 6-Feb-2020,-37.55,145.266667,20903121219,Nutfield,209031212,Panton Hill - St Andrews,Nillumbik,25710
3101,COTHAM,VIC,Delivery Area,Updated 6-Feb-2020,-37.8086079,145.0459578,20701152231,Kew (Vic.),207011522,Kew - West,Boroondara,21110
3101,KEW,VIC,Delivery Area,Updated 6-Feb-2020,-37.803516,145.0328017,20701152231,Kew (Vic.),207011522,Kew - West,Boroondara,21110
3102,KEW EAST,VIC,Delivery Area,Updated 6-Feb-2020,-37.7922797,145.0548502,20701152230,Kew East,207011522,Kew - West,Boroondara,21110
3103,BALWYN,VIC,Delivery Area,Updated 6-Feb-2020,-37.808889,145.078889,20701114735,Balwyn,207011147,Balwyn,Boroondara,21110
3103,BALWYN EAST,VIC,Delivery Area,Updated 6-Feb-2020,-37.808889,145.078889,20701114735,Balwyn,207011147,Balwyn,Boroondara,21110
