year,suburb_key,postcode,suburb_name,lga_key,lga_name,total_offences,person_offences,property_offences,disorder_offences,other_offences,total_offence_percentile,person_crime_percentile,property_crime_percentile,disorder_crime_percentile,crime_context_score,crime_context_label,crime_context_summary,crime_context_score_raw
2025,LYNBROOK,3975,Lynbrook,CASEY,Casey,699,119,424,156,0,0.8986,0.9095,0.9015,0.8976,10.7,Higher crime context,"This suburb shows higher crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",9.5
2025,LYNDHURST,3975,Lyndhurst,CASEY; GREATER DANDENONG,Casey; Greater Dandenong,479,87,327,65,0,0.8689,0.8829,0.8817,0.8265,14.5,Higher crime context,"This suburb shows higher crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",12.9
2025,LYONS,3304,Lyons,GLENELG,Glenelg,1,0,0,1,0,0.0546,0.1455,0.0351,0.3474,95.4,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Public/drug/disorder offences are the largest recorded component; use this as context, not as a judgement of the suburb.",84.7
2025,LYONVILLE,3461,Lyonville,HEPBURN,Hepburn,2,0,2,0,0,0.1467,0.1455,0.2661,0.1417,92.2,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",81.9
2025,LYSTERFIELD,3156,Lysterfield,KNOX; YARRA RANGES,Knox; Yarra Ranges,178,20,109,49,0,0.7906,0.7588,0.8018,0.8004,24.8,Higher crime context,"This suburb shows higher crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",22.0
2025,LYSTERFIELD SOUTH,3156,Lysterfield South,CASEY,Casey,48,7,25,11,5,0.6969,0.6587,0.7021,0.6653,36.8,Moderate crime context,"This suburb shows moderate crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",32.7
2025,MACARTHUR,3286,Macarthur,MOYNE,Moyne,4,1,2,1,0,0.2791,0.3566,0.2661,0.3474,75.7,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",67.2
2025,MACCLESFIELD,3782,Macclesfield,YARRA RANGES,Yarra Ranges,16,1,13,2,0,0.5531,0.3566,0.6252,0.4423,61.5,Moderate crime context,"This suburb shows moderate crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",54.6
2025,MACEDON,3440,Macedon,MACEDON RANGES,Macedon Ranges,137,17,67,53,0,0.7726,0.7456,0.7701,0.8083,26.5,Higher crime context,"This suburb shows higher crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",23.5
2025,MACKS CREEK,3971,Macks Creek,WELLINGTON,Wellington,2,0,1,1,0,0.1467,0.1455,0.1419,0.3474,91.8,Low crime context,"This suburb shows low crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",81.5
2025,MACLEOD,3085,Macleod,BANYULE; DAREBIN,Banyule; Darebin,395,43,284,67,1,0.8537,0.823,0.8704,0.8284,18.2,Higher crime context,"This suburb shows higher crime context compared with other suburbs in the latest crime dataset. Property-related offences are the largest recorded component; use this as context, not as a judgement of the suburb.",16.2
